,Capacity,TimeToSolve,Objective,Movements,Gap,LowerBound,Sequence
GGGB,1,14.592,14.518,15.0,0.0001,14.5165482,"[18, 50, 11, 51, 7, 52, 14, 12, 62, 53, 63, 15, 65, 8]"
GGGB,2,1261.62,11.058,15.0,0.0001,11.0568942,"[18, 50, 11, 51, 52, 7, 53, 14, 12, 62, 63, 8, 15, 65]"
GGGG,1,64.627,14.932,17.0,0.0001,14.9305068,"[18, 50, 18, 51, 11, 52, 7, 53, 14, 12, 62, 19, 63, 8, 65, 15]"
GGGG,2,3000.034,11.652,17.0,0.908599382,1.064999999,"[18, 50, 51, 18, 11, 52, 53, 7, 14, 12, 19, 62, 63, 15, 8, 65]"
