,Capacity,TimeToSolve,Objective,Movements,Gap,LowerBound,Sequence
RRBB,1,6.146,15.532,17.0,0.0001,15.5304468,"[18, 51, 11, 50, 18, 52, 62, 19, 14, 12, 7, 53, 63, 15, 65, 8]"
RRGB,1,44.971,17.774,19.0,0.0001,17.7722226,"[18, 51, 18, 50, 11, 52, 14, 53, 62, 15, 63, 19, 14, 12, 7, 8, 65, 15]"
RRGG,1,275.548,19.561,21.0,0.0001,19.5590439,"[18, 51, 11, 50, 18, 52, 7, 53, 14, 8, 65, 15, 62, 19, 14, 12, 7, 8, 64, 15]"
RRRB,1,86.894,20.018,21.0,0.0001,20.0159982,"[18, 50, 11, 51, 18, 12, 14, 52, 11, 53, 63, 15, 62, 19, 14, 12, 7, 8, 65, 15]"
RRRG,1,480.979,21.685,23.0,0.0001,21.6828315,"[18, 50, 11, 51, 18, 53, 7, 12, 14, 52, 11, 8, 65, 15, 62, 19, 14, 12, 7, 8, 64, 15]"
RRRR,1,816.299,23.929,25.0,0.0001,23.9266071,"[18, 50, 11, 51, 18, 19, 14, 12, 7, 53, 18, 52, 11, 8, 64, 15, 62, 19, 14, 12, 7, 8, 65, 15]"
