Operation_1,selectLargest(value()),selectLargest(valueImpact()),selectLargest(valueSuccessRate()),selectSmallest(value()),selectSmallest(valueImpact()),selectSmallest(valueSuccessRate())
selectLargest(ImpactOfLastBranch()),98.228,99.129,100.616,95.763,96.104,97.253
selectLargest(domainMax()),94.474,95.518,95.762,93.481,94.014,93.833
selectLargest(domainMin()),91.479,92.637,92.934,84.335,91.056,91.681
selectLargest(impact()),91.776,92.15,92.344,85.311,90.982,91.472
selectLargest(localImpact()),94.307,94.816,95.188,93.091,93.304,93.877
selectLargest(regretOnMax()),105.909,107.153,107.567,105.766,105.022,105.757
selectLargest(regretOnMin()),98.581,99.996,100.883,96.09,96.591,97.588
selectLargest(successRate()),112.405,114.888,86.841,107.87,110.809,111.247
selectSmallest(ImpactOfLastBranch()),105.961,107.277,107.626,102.957,104.13,104.987
selectSmallest(domainMax()),98.097,98.932,100.61,95.349,96.116,97.34
selectSmallest(domainMin()),93.823,94.523,94.694,92.771,93.438,93.08
selectSmallest(domainSize()),113.153,115.015,92.139,108.956,110.287,112.36
selectSmallest(impact()),94.488,94.89,95.3,93.408,93.961,93.952
selectSmallest(localImpact()),98.609,99.466,100.903,95.746,96.707,97.767
selectSmallest(regretOnMax()),112.569,112.006,86.474,108.388,109.836,110.095
selectSmallest(regretOnMin()),104.326,106.191,106.799,102.823,103.821,104.235
selectSmallest(successRate()),92.131,92.902,92.614,84.11,91.103,91.342
