,Value,Operation_1,Operation_2,Method
180,20.735,selectSmallest(domainMin()),selectSmallest(value()),Restart
182,20.863,selectSmallest(domainMin()),selectSmallest(valueSuccessRate()),Restart
177,20.89,selectSmallest(domainMin()),selectLargest(value()),Restart
178,20.898,selectSmallest(domainMin()),selectLargest(valueImpact()),Restart
181,20.898,selectSmallest(domainMin()),selectSmallest(valueImpact()),Restart
213,20.931,selectSmallest(regretOnMin()),selectLargest(value()),Restart
173,20.941,selectSmallest(domainMax()),selectLargest(valueSuccessRate()),Restart
179,20.956,selectSmallest(domainMin()),selectLargest(valueSuccessRate()),Restart
217,20.968,selectSmallest(regretOnMin()),selectSmallest(valueImpact()),Restart
214,20.995,selectSmallest(regretOnMin()),selectLargest(valueImpact()),Restart
172,20.997,selectSmallest(domainMax()),selectLargest(valueImpact()),Restart
171,21.024,selectSmallest(domainMax()),selectLargest(value()),Restart
218,21.025,selectSmallest(regretOnMin()),selectSmallest(valueSuccessRate()),Restart
216,21.028,selectSmallest(regretOnMin()),selectSmallest(value()),Restart
175,21.058,selectSmallest(domainMax()),selectSmallest(valueImpact()),Restart
212,21.08,selectSmallest(regretOnMax()),selectSmallest(valueSuccessRate()),Restart
176,21.084,selectSmallest(domainMax()),selectSmallest(valueSuccessRate()),Restart
215,21.088,selectSmallest(regretOnMin()),selectLargest(valueSuccessRate()),Restart
207,21.132,selectSmallest(regretOnMax()),selectLargest(value()),Restart
211,21.135,selectSmallest(regretOnMax()),selectSmallest(valueImpact()),Restart
209,21.137,selectSmallest(regretOnMax()),selectLargest(valueSuccessRate()),Restart
210,21.152,selectSmallest(regretOnMax()),selectSmallest(value()),Restart
174,21.153,selectSmallest(domainMax()),selectSmallest(value()),Restart
224,21.187,selectSmallest(successRate()),selectSmallest(valueSuccessRate()),Restart
222,21.216,selectSmallest(successRate()),selectSmallest(value()),Restart
208,21.252,selectSmallest(regretOnMax()),selectLargest(valueImpact()),Restart
223,21.278,selectSmallest(successRate()),selectSmallest(valueImpact()),Restart
221,21.332,selectSmallest(successRate()),selectLargest(valueSuccessRate()),Restart
193,21.359,selectSmallest(impact()),selectSmallest(valueImpact()),Restart
219,21.376,selectSmallest(successRate()),selectLargest(value()),Restart
220,21.423,selectSmallest(successRate()),selectLargest(valueImpact()),Restart
200,21.427,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),Restart
190,21.433,selectSmallest(impact()),selectLargest(valueImpact()),Restart
189,21.456,selectSmallest(impact()),selectLargest(value()),Restart
194,21.459,selectSmallest(impact()),selectSmallest(valueSuccessRate()),Restart
192,21.466,selectSmallest(impact()),selectSmallest(value()),Restart
206,21.536,selectSmallest(localImpact()),selectSmallest(valueSuccessRate()),Restart
191,21.539,selectSmallest(impact()),selectLargest(valueSuccessRate()),Restart
198,21.556,selectSmallest(ImpactOfLastBranch()),selectSmallest(value()),Restart
195,21.566,selectSmallest(ImpactOfLastBranch()),selectLargest(value()),Restart
204,21.571,selectSmallest(localImpact()),selectSmallest(value()),Restart
199,21.586,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueImpact()),Restart
205,21.592,selectSmallest(localImpact()),selectSmallest(valueImpact()),Restart
203,21.647,selectSmallest(localImpact()),selectLargest(valueSuccessRate()),Restart
202,21.652,selectSmallest(localImpact()),selectLargest(valueImpact()),Restart
201,21.78,selectSmallest(localImpact()),selectLargest(value()),Restart
197,21.792,selectSmallest(ImpactOfLastBranch()),selectLargest(valueSuccessRate()),Restart
186,21.809,selectSmallest(domainSize()),selectSmallest(value()),Restart
196,21.827,selectSmallest(ImpactOfLastBranch()),selectLargest(valueImpact()),Restart
185,21.874,selectSmallest(domainSize()),selectLargest(valueSuccessRate()),Restart
187,21.892,selectSmallest(domainSize()),selectSmallest(valueImpact()),Restart
183,21.901,selectSmallest(domainSize()),selectLargest(value()),Restart
188,21.909,selectSmallest(domainSize()),selectSmallest(valueSuccessRate()),Restart
71,21.921,selectSmallest(domainMin()),selectSmallest(value()),IterativeDiving
132,21.923,selectLargest(domainMin()),selectSmallest(value()),Restart
184,22.009,selectSmallest(domainSize()),selectLargest(valueImpact()),Restart
134,22.044,selectLargest(domainMin()),selectSmallest(valueSuccessRate()),Restart
130,22.093,selectLargest(domainMin()),selectLargest(valueImpact()),Restart
66,22.097,selectSmallest(domainMax()),selectSmallest(valueSuccessRate()),IterativeDiving
67,22.1,selectSmallest(domainMin()),selectLargest(value()),IterativeDiving
131,22.101,selectLargest(domainMin()),selectLargest(valueSuccessRate()),Restart
129,22.117,selectLargest(domainMin()),selectLargest(value()),Restart
64,22.132,selectSmallest(domainMax()),selectSmallest(value()),IterativeDiving
112,22.219,selectSmallest(regretOnMin()),selectRandomValue(),IterativeDiving
60,22.232,selectSmallest(domainMax()),selectLargest(value()),IterativeDiving
68,22.244,selectSmallest(domainMin()),selectLargest(valueImpact()),IterativeDiving
61,22.255,selectSmallest(domainMax()),selectLargest(valueImpact()),IterativeDiving
111,22.264,selectSmallest(regretOnMin()),selectLargest(valueSuccessRate()),IterativeDiving
115,22.307,selectSmallest(regretOnMin()),selectSmallest(valueSuccessRate()),IterativeDiving
102,22.319,selectSmallest(regretOnMax()),selectLargest(value()),IterativeDiving
133,22.32,selectLargest(domainMin()),selectSmallest(valueImpact()),Restart
123,22.321,selectLargest(domainMax()),selectLargest(value()),Restart
128,22.377,selectLargest(domainMax()),selectSmallest(valueSuccessRate()),Restart
126,22.377,selectLargest(domainMax()),selectSmallest(value()),Restart
109,22.377,selectSmallest(regretOnMin()),selectLargest(value()),IterativeDiving
73,22.381,selectSmallest(domainMin()),selectSmallest(valueSuccessRate()),IterativeDiving
65,22.387,selectSmallest(domainMax()),selectSmallest(valueImpact()),IterativeDiving
107,22.401,selectSmallest(regretOnMax()),selectSmallest(valueImpact()),IterativeDiving
106,22.405,selectSmallest(regretOnMax()),selectSmallest(value()),IterativeDiving
62,22.412,selectSmallest(domainMax()),selectLargest(valueSuccessRate()),IterativeDiving
120,22.414,selectSmallest(successRate()),selectSmallest(value()),IterativeDiving
108,22.42,selectSmallest(regretOnMax()),selectSmallest(valueSuccessRate()),IterativeDiving
105,22.428,selectSmallest(regretOnMax()),selectRandomValue(),IterativeDiving
125,22.454,selectLargest(domainMax()),selectLargest(valueSuccessRate()),Restart
124,22.458,selectLargest(domainMax()),selectLargest(valueImpact()),Restart
164,22.464,selectLargest(regretOnMin()),selectSmallest(valueSuccessRate()),Restart
63,22.486,selectSmallest(domainMax()),selectRandomValue(),IterativeDiving
116,22.49,selectSmallest(successRate()),selectLargest(value()),IterativeDiving
103,22.494,selectSmallest(regretOnMax()),selectLargest(valueImpact()),IterativeDiving
110,22.494,selectSmallest(regretOnMin()),selectLargest(valueImpact()),IterativeDiving
127,22.504,selectLargest(domainMax()),selectSmallest(valueImpact()),Restart
161,22.507,selectLargest(regretOnMin()),selectLargest(valueSuccessRate()),Restart
162,22.507,selectLargest(regretOnMin()),selectSmallest(value()),Restart
113,22.515,selectSmallest(regretOnMin()),selectSmallest(value()),IterativeDiving
163,22.525,selectLargest(regretOnMin()),selectSmallest(valueImpact()),Restart
119,22.531,selectSmallest(successRate()),selectRandomValue(),IterativeDiving
117,22.532,selectSmallest(successRate()),selectLargest(valueImpact()),IterativeDiving
159,22.542,selectLargest(regretOnMin()),selectLargest(value()),Restart
114,22.585,selectSmallest(regretOnMin()),selectSmallest(valueImpact()),IterativeDiving
104,22.593,selectSmallest(regretOnMax()),selectLargest(valueSuccessRate()),IterativeDiving
118,22.595,selectSmallest(successRate()),selectLargest(valueSuccessRate()),IterativeDiving
121,22.618,selectSmallest(successRate()),selectSmallest(valueImpact()),IterativeDiving
160,22.639,selectLargest(regretOnMin()),selectLargest(valueImpact()),Restart
86,22.66,selectSmallest(impact()),selectSmallest(valueImpact()),IterativeDiving
70,22.661,selectSmallest(domainMin()),selectRandomValue(),IterativeDiving
122,22.681,selectSmallest(successRate()),selectSmallest(valueSuccessRate()),IterativeDiving
100,22.704,selectSmallest(localImpact()),selectSmallest(valueImpact()),IterativeDiving
157,22.716,selectLargest(regretOnMax()),selectSmallest(valueImpact()),Restart
81,22.721,selectSmallest(impact()),selectLargest(value()),IterativeDiving
158,22.722,selectLargest(regretOnMax()),selectSmallest(valueSuccessRate()),Restart
156,22.723,selectLargest(regretOnMax()),selectSmallest(value()),Restart
69,22.773,selectSmallest(domainMin()),selectLargest(valueSuccessRate()),IterativeDiving
83,22.775,selectSmallest(impact()),selectLargest(valueSuccessRate()),IterativeDiving
87,22.793,selectSmallest(impact()),selectSmallest(valueSuccessRate()),IterativeDiving
82,22.825,selectSmallest(impact()),selectLargest(valueImpact()),IterativeDiving
95,22.832,selectSmallest(localImpact()),selectLargest(value()),IterativeDiving
84,22.856,selectSmallest(impact()),selectRandomValue(),IterativeDiving
101,22.861,selectSmallest(localImpact()),selectSmallest(valueSuccessRate()),IterativeDiving
93,22.884,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueImpact()),IterativeDiving
72,22.901,selectSmallest(domainMin()),selectSmallest(valueImpact()),IterativeDiving
99,22.903,selectSmallest(localImpact()),selectSmallest(value()),IterativeDiving
96,22.906,selectSmallest(localImpact()),selectLargest(valueImpact()),IterativeDiving
85,22.954,selectSmallest(impact()),selectSmallest(value()),IterativeDiving
92,22.968,selectSmallest(ImpactOfLastBranch()),selectSmallest(value()),IterativeDiving
89,23.008,selectSmallest(ImpactOfLastBranch()),selectLargest(valueImpact()),IterativeDiving
80,23.061,selectSmallest(domainSize()),selectSmallest(valueSuccessRate()),IterativeDiving
97,23.088,selectSmallest(localImpact()),selectLargest(valueSuccessRate()),IterativeDiving
88,23.13,selectSmallest(ImpactOfLastBranch()),selectLargest(value()),IterativeDiving
153,23.156,selectLargest(regretOnMax()),selectLargest(value()),Restart
94,23.158,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),IterativeDiving
79,23.244,selectSmallest(domainSize()),selectSmallest(valueImpact()),IterativeDiving
74,23.284,selectSmallest(domainSize()),selectLargest(value()),IterativeDiving
75,23.326,selectSmallest(domainSize()),selectLargest(valueImpact()),IterativeDiving
90,23.329,selectSmallest(ImpactOfLastBranch()),selectLargest(valueSuccessRate()),IterativeDiving
98,23.35,selectSmallest(localImpact()),selectRandomValue(),IterativeDiving
168,23.38,selectLargest(successRate()),selectSmallest(value()),Restart
78,23.392,selectSmallest(domainSize()),selectSmallest(value()),IterativeDiving
11,23.483,selectLargest(domainMin()),selectSmallest(value()),IterativeDiving
155,23.494,selectLargest(regretOnMax()),selectLargest(valueSuccessRate()),Restart
154,23.496,selectLargest(regretOnMax()),selectLargest(valueImpact()),Restart
12,23.507,selectLargest(domainMin()),selectSmallest(valueImpact()),IterativeDiving
169,23.532,selectLargest(successRate()),selectSmallest(valueImpact()),Restart
76,23.547,selectSmallest(domainSize()),selectLargest(valueSuccessRate()),IterativeDiving
165,23.549,selectLargest(successRate()),selectLargest(value()),Restart
138,23.598,selectLargest(impact()),selectSmallest(value()),Restart
91,23.611,selectSmallest(ImpactOfLastBranch()),selectRandomValue(),IterativeDiving
139,23.613,selectLargest(impact()),selectSmallest(valueImpact()),Restart
166,23.622,selectLargest(successRate()),selectLargest(valueImpact()),Restart
137,23.665,selectLargest(impact()),selectLargest(valueSuccessRate()),Restart
167,23.673,selectLargest(successRate()),selectLargest(valueSuccessRate()),Restart
135,23.682,selectLargest(impact()),selectLargest(value()),Restart
13,23.683,selectLargest(domainMin()),selectSmallest(valueSuccessRate()),IterativeDiving
9,23.686,selectLargest(domainMin()),selectLargest(valueSuccessRate()),IterativeDiving
170,23.723,selectLargest(successRate()),selectSmallest(valueSuccessRate()),Restart
4,23.739,selectLargest(domainMax()),selectSmallest(value()),IterativeDiving
150,23.759,selectLargest(localImpact()),selectSmallest(value()),Restart
46,23.791,selectLargest(regretOnMin()),selectSmallest(value()),IterativeDiving
136,23.798,selectLargest(impact()),selectLargest(valueImpact()),Restart
140,23.81,selectLargest(impact()),selectSmallest(valueSuccessRate()),Restart
144,23.846,selectLargest(ImpactOfLastBranch()),selectSmallest(value()),Restart
8,23.847,selectLargest(domainMin()),selectLargest(valueImpact()),IterativeDiving
152,23.857,selectLargest(localImpact()),selectSmallest(valueSuccessRate()),Restart
0,23.887,selectLargest(domainMax()),selectLargest(value()),IterativeDiving
