Operation_1,selectLargest(value()),selectLargest(valueImpact()),selectLargest(valueSuccessRate()),selectRandomValue(),selectSmallest(value()),selectSmallest(valueImpact()),selectSmallest(valueSuccessRate())
selectLargest(ImpactOfLastBranch()),1.423,1.451,1.352,1.43,1.348,1.378,1.349
selectLargest(domainMax()),1.339,1.431,1.339,1.311,1.425,1.343,1.348
selectLargest(domainMin()),1.312,1.346,1.343,1.311,1.323,1.323,1.315
selectLargest(impact()),1.446,1.426,1.355,1.345,1.362,1.44,1.399
selectLargest(localImpact()),1.371,1.355,1.37,1.386,1.419,1.386,1.438
selectLargest(regretOnMax()),1.446,1.363,1.375,1.316,1.333,1.316,1.352
selectLargest(regretOnMin()),1.327,1.328,1.465,1.347,1.333,1.387,1.328
selectLargest(successRate()),1.361,1.421,1.493,1.408,1.378,1.384,1.365
selectRandomVar(),1.408,1.427,1.4,1.376,1.396,1.378,1.347
selectSmallest(ImpactOfLastBranch()),1.279,1.361,1.293,1.336,1.278,1.287,1.416
selectSmallest(domainMax()),1.248,1.294,1.243,1.249,1.23,1.362,1.221
selectSmallest(domainMin()),1.23,1.231,1.221,1.212,1.211,1.293,1.193
selectSmallest(domainSize()),1.343,1.383,1.33,1.355,1.27,1.294,1.266
selectSmallest(impact()),1.27,1.299,1.254,1.329,1.337,1.28,1.248
selectSmallest(localImpact()),1.343,1.315,1.371,1.311,1.287,1.265,1.32
selectSmallest(regretOnMax()),1.303,1.249,1.253,1.289,1.267,1.28,1.26
selectSmallest(regretOnMin()),1.212,1.29,1.254,1.198,1.192,1.334,1.222
selectSmallest(successRate()),1.24,1.329,1.367,1.239,1.297,1.302,1.308
