,Value,Operation_1,Operation_2,Method
203,91.342,selectSmallest(successRate()),selectSmallest(valueSuccessRate()),Restart
119,91.472,selectLargest(impact()),selectSmallest(valueSuccessRate()),Restart
108,91.479,selectLargest(domainMin()),selectLargest(value()),Restart
35,91.571,selectLargest(regretOnMax()),selectSmallest(valueSuccessRate()),IterativeDiving
113,91.681,selectLargest(domainMin()),selectSmallest(valueSuccessRate()),Restart
114,91.776,selectLargest(impact()),selectLargest(value()),Restart
77,91.797,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),IterativeDiving
198,92.131,selectSmallest(successRate()),selectLargest(value()),Restart
164,92.139,selectSmallest(domainSize()),selectLargest(valueSuccessRate()),Restart
115,92.15,selectLargest(impact()),selectLargest(valueImpact()),Restart
72,92.205,selectSmallest(ImpactOfLastBranch()),selectLargest(value()),IterativeDiving
30,92.332,selectLargest(regretOnMax()),selectLargest(value()),IterativeDiving
116,92.344,selectLargest(impact()),selectLargest(valueSuccessRate()),Restart
200,92.614,selectSmallest(successRate()),selectLargest(valueSuccessRate()),Restart
109,92.637,selectLargest(domainMin()),selectLargest(valueImpact()),Restart
159,92.771,selectSmallest(domainMin()),selectSmallest(value()),Restart
199,92.902,selectSmallest(successRate()),selectLargest(valueImpact()),Restart
110,92.934,selectLargest(domainMin()),selectLargest(valueSuccessRate()),Restart
31,92.935,selectLargest(regretOnMax()),selectLargest(valueImpact()),IterativeDiving
161,93.08,selectSmallest(domainMin()),selectSmallest(valueSuccessRate()),Restart
129,93.091,selectLargest(localImpact()),selectSmallest(value()),Restart
130,93.304,selectLargest(localImpact()),selectSmallest(valueImpact()),Restart
171,93.408,selectSmallest(impact()),selectSmallest(value()),Restart
160,93.438,selectSmallest(domainMin()),selectSmallest(valueImpact()),Restart
105,93.481,selectLargest(domainMax()),selectSmallest(value()),Restart
90,93.66,selectSmallest(regretOnMin()),selectLargest(value()),IterativeDiving
32,93.725,selectLargest(regretOnMax()),selectLargest(valueSuccessRate()),IterativeDiving
156,93.823,selectSmallest(domainMin()),selectLargest(value()),Restart
