,Value,Operation_1,Operation_2,Method
124,1.302,selectSmallest(successRate()),selectSmallest(valueImpact()),IterativeDiving
105,1.303,selectSmallest(regretOnMax()),selectLargest(value()),IterativeDiving
125,1.308,selectSmallest(successRate()),selectSmallest(valueSuccessRate()),IterativeDiving
101,1.311,selectSmallest(localImpact()),selectRandomValue(),IterativeDiving
3,1.311,selectLargest(domainMax()),selectRandomValue(),IterativeDiving
10,1.311,selectLargest(domainMin()),selectRandomValue(),IterativeDiving
7,1.312,selectLargest(domainMin()),selectLargest(value()),IterativeDiving
99,1.315,selectSmallest(localImpact()),selectLargest(valueImpact()),IterativeDiving
13,1.315,selectLargest(domainMin()),selectSmallest(valueSuccessRate()),IterativeDiving
40,1.316,selectLargest(regretOnMax()),selectSmallest(valueImpact()),IterativeDiving
38,1.316,selectLargest(regretOnMax()),selectRandomValue(),IterativeDiving
104,1.32,selectSmallest(localImpact()),selectSmallest(valueSuccessRate()),IterativeDiving
11,1.323,selectLargest(domainMin()),selectSmallest(value()),IterativeDiving
12,1.323,selectLargest(domainMin()),selectSmallest(valueImpact()),IterativeDiving
42,1.327,selectLargest(regretOnMin()),selectLargest(value()),IterativeDiving
43,1.328,selectLargest(regretOnMin()),selectLargest(valueImpact()),IterativeDiving
48,1.328,selectLargest(regretOnMin()),selectSmallest(valueSuccessRate()),IterativeDiving
120,1.329,selectSmallest(successRate()),selectLargest(valueImpact()),IterativeDiving
87,1.329,selectSmallest(impact()),selectRandomValue(),IterativeDiving
79,1.33,selectSmallest(domainSize()),selectLargest(valueSuccessRate()),IterativeDiving
39,1.333,selectLargest(regretOnMax()),selectSmallest(value()),IterativeDiving
46,1.333,selectLargest(regretOnMin()),selectSmallest(value()),IterativeDiving
117,1.334,selectSmallest(regretOnMin()),selectSmallest(valueImpact()),IterativeDiving
94,1.336,selectSmallest(ImpactOfLastBranch()),selectRandomValue(),IterativeDiving
88,1.337,selectSmallest(impact()),selectSmallest(value()),IterativeDiving
0,1.339,selectLargest(domainMax()),selectLargest(value()),IterativeDiving
2,1.339,selectLargest(domainMax()),selectLargest(valueSuccessRate()),IterativeDiving
77,1.343,selectSmallest(domainSize()),selectLargest(value()),IterativeDiving
5,1.343,selectLargest(domainMax()),selectSmallest(valueImpact()),IterativeDiving
9,1.343,selectLargest(domainMin()),selectLargest(valueSuccessRate()),IterativeDiving
98,1.343,selectSmallest(localImpact()),selectLargest(value()),IterativeDiving
17,1.345,selectLargest(impact()),selectRandomValue(),IterativeDiving
8,1.346,selectLargest(domainMin()),selectLargest(valueImpact()),IterativeDiving
62,1.347,selectRandomVar(),selectSmallest(valueSuccessRate()),IterativeDiving
45,1.347,selectLargest(regretOnMin()),selectRandomValue(),IterativeDiving
6,1.348,selectLargest(domainMax()),selectSmallest(valueSuccessRate()),IterativeDiving
25,1.348,selectLargest(ImpactOfLastBranch()),selectSmallest(value()),IterativeDiving
27,1.349,selectLargest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),IterativeDiving
23,1.352,selectLargest(ImpactOfLastBranch()),selectLargest(valueSuccessRate()),IterativeDiving
41,1.352,selectLargest(regretOnMax()),selectSmallest(valueSuccessRate()),IterativeDiving
29,1.355,selectLargest(localImpact()),selectLargest(valueImpact()),IterativeDiving
16,1.355,selectLargest(impact()),selectLargest(valueSuccessRate()),IterativeDiving
80,1.355,selectSmallest(domainSize()),selectRandomValue(),IterativeDiving
49,1.361,selectLargest(successRate()),selectLargest(value()),IterativeDiving
92,1.361,selectSmallest(ImpactOfLastBranch()),selectLargest(valueImpact()),IterativeDiving
18,1.362,selectLargest(impact()),selectSmallest(value()),IterativeDiving
68,1.362,selectSmallest(domainMax()),selectSmallest(valueImpact()),IterativeDiving
36,1.363,selectLargest(regretOnMax()),selectLargest(valueImpact()),IterativeDiving
55,1.365,selectLargest(successRate()),selectSmallest(valueSuccessRate()),IterativeDiving
121,1.367,selectSmallest(successRate()),selectLargest(valueSuccessRate()),IterativeDiving
30,1.37,selectLargest(localImpact()),selectLargest(valueSuccessRate()),IterativeDiving
28,1.371,selectLargest(localImpact()),selectLargest(value()),IterativeDiving
100,1.371,selectSmallest(localImpact()),selectLargest(valueSuccessRate()),IterativeDiving
37,1.375,selectLargest(regretOnMax()),selectLargest(valueSuccessRate()),IterativeDiving
59,1.376,selectRandomVar(),selectRandomValue(),IterativeDiving
53,1.378,selectLargest(successRate()),selectSmallest(value()),IterativeDiving
61,1.378,selectRandomVar(),selectSmallest(valueImpact()),IterativeDiving
26,1.378,selectLargest(ImpactOfLastBranch()),selectSmallest(valueImpact()),IterativeDiving
78,1.383,selectSmallest(domainSize()),selectLargest(valueImpact()),IterativeDiving
54,1.384,selectLargest(successRate()),selectSmallest(valueImpact()),IterativeDiving
31,1.386,selectLargest(localImpact()),selectRandomValue(),IterativeDiving
33,1.386,selectLargest(localImpact()),selectSmallest(valueImpact()),IterativeDiving
47,1.387,selectLargest(regretOnMin()),selectSmallest(valueImpact()),IterativeDiving
60,1.396,selectRandomVar(),selectSmallest(value()),IterativeDiving
20,1.399,selectLargest(impact()),selectSmallest(valueSuccessRate()),IterativeDiving
58,1.4,selectRandomVar(),selectLargest(valueSuccessRate()),IterativeDiving
52,1.408,selectLargest(successRate()),selectRandomValue(),IterativeDiving
56,1.408,selectRandomVar(),selectLargest(value()),IterativeDiving
97,1.416,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),IterativeDiving
32,1.419,selectLargest(localImpact()),selectSmallest(value()),IterativeDiving
50,1.421,selectLargest(successRate()),selectLargest(valueImpact()),IterativeDiving
21,1.423,selectLargest(ImpactOfLastBranch()),selectLargest(value()),IterativeDiving
4,1.425,selectLargest(domainMax()),selectSmallest(value()),IterativeDiving
15,1.426,selectLargest(impact()),selectLargest(valueImpact()),IterativeDiving
57,1.427,selectRandomVar(),selectLargest(valueImpact()),IterativeDiving
24,1.43,selectLargest(ImpactOfLastBranch()),selectRandomValue(),IterativeDiving
1,1.431,selectLargest(domainMax()),selectLargest(valueImpact()),IterativeDiving
34,1.438,selectLargest(localImpact()),selectSmallest(valueSuccessRate()),IterativeDiving
19,1.44,selectLargest(impact()),selectSmallest(valueImpact()),IterativeDiving
35,1.446,selectLargest(regretOnMax()),selectLargest(value()),IterativeDiving
14,1.446,selectLargest(impact()),selectLargest(value()),IterativeDiving
22,1.451,selectLargest(ImpactOfLastBranch()),selectLargest(valueImpact()),IterativeDiving
44,1.465,selectLargest(regretOnMin()),selectLargest(valueSuccessRate()),IterativeDiving
51,1.493,selectLargest(successRate()),selectLargest(valueSuccessRate()),IterativeDiving
211,1.617,selectSmallest(impact()),selectLargest(valueImpact()),Restart
203,1.617,selectSmallest(domainSize()),selectLargest(value()),Restart
240,1.618,selectSmallest(regretOnMin()),selectLargest(valueSuccessRate()),Restart
177,1.618,selectLargest(successRate()),selectLargest(valueSuccessRate()),Restart
182,1.625,selectRandomVar(),selectLargest(value()),Restart
231,1.627,selectSmallest(regretOnMax()),selectLargest(value()),Restart
154,1.628,selectLargest(localImpact()),selectLargest(value()),Restart
229,1.631,selectSmallest(localImpact()),selectSmallest(valueImpact()),Restart
195,1.633,selectSmallest(domainMax()),selectSmallest(valueSuccessRate()),Restart
175,1.633,selectLargest(successRate()),selectLargest(value()),Restart
135,1.635,selectLargest(domainMin()),selectLargest(valueSuccessRate()),Restart
167,1.635,selectLargest(regretOnMax()),selectSmallest(valueSuccessRate()),Restart
198,1.637,selectSmallest(domainMin()),selectLargest(valueSuccessRate()),Restart
213,1.638,selectSmallest(impact()),selectRandomValue(),Restart
170,1.639,selectLargest(regretOnMin()),selectLargest(valueSuccessRate()),Restart
161,1.641,selectLargest(regretOnMax()),selectLargest(value()),Restart
208,1.641,selectSmallest(domainSize()),selectSmallest(valueImpact()),Restart
158,1.643,selectLargest(localImpact()),selectSmallest(value()),Restart
142,1.644,selectLargest(impact()),selectLargest(valueSuccessRate()),Restart
156,1.645,selectLargest(localImpact()),selectLargest(valueSuccessRate()),Restart
132,1.646,selectLargest(domainMax()),selectSmallest(valueSuccessRate()),Restart
190,1.648,selectSmallest(domainMax()),selectLargest(valueImpact()),Restart
251,1.649,selectSmallest(successRate()),selectSmallest(valueSuccessRate()),Restart
144,1.65,selectLargest(impact()),selectSmallest(value()),Restart
200,1.651,selectSmallest(domainMin()),selectSmallest(value()),Restart
137,1.651,selectLargest(domainMin()),selectSmallest(value()),Restart
244,1.651,selectSmallest(regretOnMin()),selectSmallest(valueSuccessRate()),Restart
143,1.651,selectLargest(impact()),selectRandomValue(),Restart
169,1.654,selectLargest(regretOnMin()),selectLargest(valueImpact()),Restart
248,1.655,selectSmallest(successRate()),selectRandomValue(),Restart
242,1.658,selectSmallest(regretOnMin()),selectSmallest(value()),Restart
187,1.659,selectRandomVar(),selectSmallest(valueImpact()),Restart
179,1.659,selectLargest(successRate()),selectSmallest(value()),Restart
139,1.66,selectLargest(domainMin()),selectSmallest(valueSuccessRate()),Restart
230,1.662,selectSmallest(localImpact()),selectSmallest(valueSuccessRate()),Restart
210,1.664,selectSmallest(impact()),selectLargest(value()),Restart
145,1.664,selectLargest(impact()),selectSmallest(valueImpact()),Restart
214,1.668,selectSmallest(impact()),selectSmallest(value()),Restart
140,1.668,selectLargest(impact()),selectLargest(value()),Restart
194,1.669,selectSmallest(domainMax()),selectSmallest(valueImpact()),Restart
131,1.671,selectLargest(domainMax()),selectSmallest(valueImpact()),Restart
162,1.672,selectLargest(regretOnMax()),selectLargest(valueImpact()),Restart
173,1.674,selectLargest(regretOnMin()),selectSmallest(valueImpact()),Restart
164,1.675,selectLargest(regretOnMax()),selectRandomValue(),Restart
217,1.675,selectSmallest(ImpactOfLastBranch()),selectLargest(value()),Restart
216,1.675,selectSmallest(impact()),selectSmallest(valueSuccessRate()),Restart
130,1.676,selectLargest(domainMax()),selectSmallest(value()),Restart
133,1.676,selectLargest(domainMin()),selectLargest(value()),Restart
205,1.677,selectSmallest(domainSize()),selectLargest(valueSuccessRate()),Restart
185,1.679,selectRandomVar(),selectRandomValue(),Restart
172,1.681,selectLargest(regretOnMin()),selectSmallest(value()),Restart
239,1.684,selectSmallest(regretOnMin()),selectLargest(valueImpact()),Restart
207,1.685,selectSmallest(domainSize()),selectSmallest(value()),Restart
225,1.686,selectSmallest(localImpact()),selectLargest(valueImpact()),Restart
220,1.687,selectSmallest(ImpactOfLastBranch()),selectRandomValue(),Restart
209,1.689,selectSmallest(domainSize()),selectSmallest(valueSuccessRate()),Restart
212,1.689,selectSmallest(impact()),selectLargest(valueSuccessRate()),Restart
128,1.69,selectLargest(domainMax()),selectLargest(valueSuccessRate()),Restart
222,1.691,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueImpact()),Restart
183,1.691,selectRandomVar(),selectLargest(valueImpact()),Restart
202,1.692,selectSmallest(domainMin()),selectSmallest(valueSuccessRate()),Restart
151,1.693,selectLargest(ImpactOfLastBranch()),selectSmallest(value()),Restart
186,1.694,selectRandomVar(),selectSmallest(value()),Restart
223,1.695,selectSmallest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),Restart
129,1.696,selectLargest(domainMax()),selectRandomValue(),Restart
165,1.696,selectLargest(regretOnMax()),selectSmallest(value()),Restart
197,1.696,selectSmallest(domainMin()),selectLargest(valueImpact()),Restart
191,1.697,selectSmallest(domainMax()),selectLargest(valueSuccessRate()),Restart
168,1.698,selectLargest(regretOnMin()),selectLargest(value()),Restart
152,1.699,selectLargest(ImpactOfLastBranch()),selectSmallest(valueImpact()),Restart
218,1.701,selectSmallest(ImpactOfLastBranch()),selectLargest(valueImpact()),Restart
233,1.701,selectSmallest(regretOnMax()),selectLargest(valueSuccessRate()),Restart
224,1.702,selectSmallest(localImpact()),selectLargest(value()),Restart
126,1.703,selectLargest(domainMax()),selectLargest(value()),Restart
149,1.705,selectLargest(ImpactOfLastBranch()),selectLargest(valueSuccessRate()),Restart
159,1.707,selectLargest(localImpact()),selectSmallest(valueImpact()),Restart
148,1.707,selectLargest(ImpactOfLastBranch()),selectLargest(valueImpact()),Restart
147,1.708,selectLargest(ImpactOfLastBranch()),selectLargest(value()),Restart
188,1.709,selectRandomVar(),selectSmallest(valueSuccessRate()),Restart
146,1.711,selectLargest(impact()),selectSmallest(valueSuccessRate()),Restart
160,1.713,selectLargest(localImpact()),selectSmallest(valueSuccessRate()),Restart
215,1.716,selectSmallest(impact()),selectSmallest(valueImpact()),Restart
127,1.718,selectLargest(domainMax()),selectLargest(valueImpact()),Restart
163,1.718,selectLargest(regretOnMax()),selectLargest(valueSuccessRate()),Restart
206,1.721,selectSmallest(domainSize()),selectRandomValue(),Restart
184,1.721,selectRandomVar(),selectLargest(valueSuccessRate()),Restart
249,1.723,selectSmallest(successRate()),selectSmallest(value()),Restart
176,1.725,selectLargest(successRate()),selectLargest(valueImpact()),Restart
201,1.725,selectSmallest(domainMin()),selectSmallest(valueImpact()),Restart
181,1.726,selectLargest(successRate()),selectSmallest(valueSuccessRate()),Restart
236,1.726,selectSmallest(regretOnMax()),selectSmallest(valueImpact()),Restart
174,1.729,selectLargest(regretOnMin()),selectSmallest(valueSuccessRate()),Restart
134,1.735,selectLargest(domainMin()),selectLargest(valueImpact()),Restart
138,1.736,selectLargest(domainMin()),selectSmallest(valueImpact()),Restart
155,1.739,selectLargest(localImpact()),selectLargest(valueImpact()),Restart
136,1.739,selectLargest(domainMin()),selectRandomValue(),Restart
150,1.74,selectLargest(ImpactOfLastBranch()),selectRandomValue(),Restart
226,1.741,selectSmallest(localImpact()),selectLargest(valueSuccessRate()),Restart
141,1.742,selectLargest(impact()),selectLargest(valueImpact()),Restart
157,1.742,selectLargest(localImpact()),selectRandomValue(),Restart
153,1.744,selectLargest(ImpactOfLastBranch()),selectSmallest(valueSuccessRate()),Restart
178,1.748,selectLargest(successRate()),selectRandomValue(),Restart
193,1.748,selectSmallest(domainMax()),selectSmallest(value()),Restart
235,1.749,selectSmallest(regretOnMax()),selectSmallest(value()),Restart
204,1.75,selectSmallest(domainSize()),selectLargest(valueImpact()),Restart
166,1.752,selectLargest(regretOnMax()),selectSmallest(valueImpact()),Restart
180,1.754,selectLargest(successRate()),selectSmallest(valueImpact()),Restart
189,1.758,selectSmallest(domainMax()),selectLargest(value()),Restart
247,1.766,selectSmallest(successRate()),selectLargest(valueSuccessRate()),Restart
228,1.768,selectSmallest(localImpact()),selectSmallest(value()),Restart
192,1.771,selectSmallest(domainMax()),selectRandomValue(),Restart
241,1.774,selectSmallest(regretOnMin()),selectRandomValue(),Restart
196,1.777,selectSmallest(domainMin()),selectLargest(value()),Restart
171,1.782,selectLargest(regretOnMin()),selectRandomValue(),Restart
243,1.786,selectSmallest(regretOnMin()),selectSmallest(valueImpact()),Restart
250,1.79,selectSmallest(successRate()),selectSmallest(valueImpact()),Restart
234,1.796,selectSmallest(regretOnMax()),selectRandomValue(),Restart
238,1.797,selectSmallest(regretOnMin()),selectLargest(value()),Restart
227,1.813,selectSmallest(localImpact()),selectRandomValue(),Restart
199,1.817,selectSmallest(domainMin()),selectRandomValue(),Restart
232,1.818,selectSmallest(regretOnMax()),selectLargest(valueImpact()),Restart
221,1.822,selectSmallest(ImpactOfLastBranch()),selectSmallest(value()),Restart
219,1.828,selectSmallest(ImpactOfLastBranch()),selectLargest(valueSuccessRate()),Restart
246,1.835,selectSmallest(successRate()),selectLargest(valueImpact()),Restart
245,1.84,selectSmallest(successRate()),selectLargest(value()),Restart
237,1.87,selectSmallest(regretOnMax()),selectSmallest(valueSuccessRate()),Restart
