,Capacity,TimeToSolve,Objective,Iterations,Constraints,Variables,Movements,Gap,LowerBound,Sequence
GGRB,3,3604.797,13.663,137990989.0,10194.0,8352.0,17.0,0.274190228,9.916738909,"[18, 50, 51, 52, 7, 14, 8, 15, 64, 14, 7, 53, 8, 15, 65, 63, 62]"
GGRB,4,3498.781,12.848,145710419.0,10194.0,8352.0,17.0,3.0608e-05,12.84760675,"[18, 50, 51, 52, 53, 14, 7, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
BRGG,1,2300.047,17.36,90995188.0,10194.0,8352.0,17.0,0.0,17.36,"[18, 52, 7, 53, 14, 51, 11, 50, 63, 15, 62, 12, 14, 8, 65, 15, 64]"
BRGG,2,3605.625,14.69,126676086.0,10194.0,8352.0,17.0,0.370602025,9.24585625,"[18, 51, 50, 11, 52, 14, 63, 15, 53, 7, 12, 14, 62, 15, 8, 65, 64]"
BRGG,3,3603.219,13.58,143256568.0,10194.0,8352.0,17.0,0.223799806,10.540798631,"[18, 51, 11, 50, 52, 53, 7, 8, 63, 62, 12, 14, 7, 8, 15, 65, 64]"
BRGG,4,3600.891,12.848,142822573.0,10194.0,8352.0,17.0,0.021873126,12.566974074,"[18, 50, 51, 52, 53, 7, 14, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
BGRG,1,1681.734,17.36,68204530.0,10194.0,8352.0,17.0,6.7622e-05,17.358826087,"[18, 51, 7, 53, 14, 52, 11, 50, 63, 15, 62, 12, 14, 8, 65, 15, 64]"
BGRG,2,3603.406,15.11,143525933.0,10194.0,8352.0,17.0,0.312815021,10.383365031,"[18, 52, 50, 18, 51, 7, 8, 63, 62, 19, 14, 53, 7, 8, 15, 65, 64]"
BGRG,3,3604.766,13.663,134712607.0,10194.0,8352.0,17.0,0.243397716,10.337457005,"[18, 50, 51, 52, 7, 14, 63, 15, 8, 53, 7, 14, 8, 15, 65, 64, 62]"
BGRG,4,2780.656,12.848,118096188.0,10194.0,8352.0,17.0,8.4398e-05,12.84691565,"[18, 50, 51, 52, 53, 14, 7, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
GRGB,1,2340.781,17.06,97911335.0,10194.0,8352.0,17.0,6.23631804e-06,17.059893608,"[18, 51, 11, 50, 14, 53, 63, 15, 62, 12, 14, 52, 7, 8, 65, 15, 64]"
GRGB,2,3603.969,14.81,145807961.0,10194.0,8352.0,17.0,0.416806013,8.637102942,"[18, 51, 11, 50, 52, 7, 12, 14, 8, 7, 53, 62, 63, 15, 8, 65, 64]"
GRGB,3,3606.625,13.513,111912475.0,10194.0,8352.0,17.0,0.32781503,9.083235499,"[18, 50, 51, 52, 7, 14, 8, 15, 62, 14, 7, 53, 8, 15, 65, 64, 63]"
GRGB,4,3601.375,12.848,144834873.0,10194.0,8352.0,17.0,0.156237156,10.840665025,"[18, 50, 51, 52, 53, 14, 7, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
GBRG,1,2378.25,17.36,90765575.0,10194.0,8352.0,17.0,0.0,17.36,"[18, 50, 7, 52, 11, 51, 63, 8, 62, 12, 14, 53, 7, 8, 65, 15, 64]"
GBRG,2,3604.547,14.965,128364295.0,10194.0,8352.0,17.0,0.36957678,9.434283481,"[18, 52, 51, 11, 50, 7, 8, 64, 62, 12, 14, 53, 7, 8, 15, 65, 63]"
GBRG,3,3607.281,13.513,109028074.0,10194.0,8352.0,17.0,0.254094718,10.079418076,"[18, 50, 51, 52, 7, 14, 62, 15, 8, 53, 7, 14, 8, 15, 65, 64, 63]"
GBRG,4,1638.188,12.848,71434095.0,10194.0,8352.0,17.0,5.9798e-05,12.847231719,"[18, 50, 51, 52, 53, 7, 14, 8, 15, 63, 62, 14, 7, 8, 15, 65, 64]"
