,Capacity,TimeToSolve,Objective,Iterations,Constraints,Variables,Movements,Gap,LowerBound,Sequence
BBBB,1,13.687,14.62,1726950.0,4198.0,4520.0,9.0,0.0,14.62,"[18, 50, 62, 52, 63, 51, 64, 53, 65]"
BBBB,2,21.484,8.53,1725283.0,4198.0,4520.0,9.0,6.513e-05,8.529444444,"[18, 50, 51, 62, 63, 53, 52, 64, 65]"
BBBB,3,19.563,7.93,1930432.0,4198.0,4520.0,9.0,0.0,7.93,"[18, 50, 51, 52, 62, 53, 63, 64, 65]"
BBBB,4,19.125,5.49,1986144.0,4198.0,4520.0,9.0,0.0,5.49,"[18, 50, 51, 52, 53, 62, 63, 64, 65]"
BBBB,1,15.844,14.62,2015618.0,4242.0,4560.0,9.0,0.0,14.62,"[18, 50, 63, 52, 62, 53, 64, 51, 65]"
BBBB,2,30.297,8.53,2510835.0,4242.0,4560.0,9.0,0.0,8.53,"[18, 50, 51, 63, 62, 52, 53, 64, 65]"
BBBB,3,23.438,7.93,1703845.0,4242.0,4560.0,9.0,0.0,7.93,"[18, 50, 51, 52, 62, 53, 63, 64, 65]"
BBBB,4,13.734,5.49,1061782.0,4242.0,4560.0,9.0,0.0,5.49,"[18, 50, 51, 52, 53, 62, 63, 64, 65]"
BBBB,1,13.938,14.62,1896187.0,5602.0,4640.0,9.0,0.0,14.62,"[18, 50, 64, 51, 63, 52, 62, 53, 65]"
BBBB,2,25.672,8.53,2860897.0,5602.0,4640.0,9.0,0.0,8.53,"[18, 50, 51, 62, 63, 53, 52, 64, 65]"
BBBB,3,19.703,7.93,1358262.0,5602.0,4640.0,9.0,0.0,7.93,"[18, 50, 51, 52, 62, 53, 63, 64, 65]"
BBBB,4,12.094,5.49,1239316.0,5602.0,4640.0,9.0,0.0,5.49,"[18, 50, 51, 52, 53, 62, 63, 64, 65]"
