,Capacity,TimeToSolve,Objective,Movements,Gap,LowerBound,Sequence
BGGB,1,4.143,14.546,13.0,0.0001,14.5445454,"[18, 51, 18, 50, 63, 52, 14, 53, 62, 19, 64, 15]"
BGGB,2,84.123,10.468,13.0,0.0001,10.4669532,"[18, 51, 52, 11, 18, 50, 53, 62, 63, 12, 19, 64]"
BGGB,3,247.059,9.066,13.0,0.0001,9.0650934,"[18, 50, 51, 11, 52, 53, 14, 12, 62, 63, 64, 15]"
BGGB,4,313.775,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
BGBG,1,4.393,14.546,13.0,0.0001,14.5445454,"[18, 51, 18, 50, 62, 53, 14, 52, 63, 19, 64, 15]"
BGBG,2,85.245,10.614,13.0,0.0001,10.6129386,"[18, 51, 53, 14, 7, 52, 50, 62, 63, 15, 8, 65]"
BGBG,3,181.574,9.066,13.0,0.0001,9.0650934,"[18, 50, 51, 11, 52, 53, 14, 12, 62, 63, 64, 15]"
BGBG,4,378.503,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
GGBB,1,3.658,14.246,13.0,0.0001,14.2445754,"[18, 50, 11, 51, 14, 12, 62, 53, 63, 52, 64, 15]"
GGBB,2,86.308,10.014,13.0,0.0001,10.0129986,"[18, 50, 51, 7, 14, 53, 52, 62, 63, 8, 15, 65]"
GGBB,3,273.74,8.766,13.0,0.0001,8.7651234,"[18, 50, 11, 51, 52, 53, 14, 12, 62, 63, 64, 15]"
GGBB,4,252.866,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
BBGG,1,3.351,14.704,13.0,0.0001,14.7025296,"[18, 50, 62, 52, 14, 53, 7, 51, 63, 8, 65, 15]"
BBGG,2,84.515,10.614,13.0,0.0001,10.6129386,"[18, 52, 53, 14, 7, 50, 51, 62, 63, 15, 8, 65]"
BBGG,3,292.815,9.366,13.0,0.0001,9.3650634,"[18, 52, 50, 11, 51, 53, 14, 12, 62, 63, 64, 15]"
BBGG,4,232.317,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
GBBG,1,3.613,14.246,13.0,0.0001,14.2445754,"[18, 50, 11, 51, 62, 53, 14, 52, 63, 12, 64, 15]"
GBBG,2,67.786,10.314,13.0,0.0001,10.3129686,"[18, 50, 53, 14, 7, 52, 51, 62, 63, 8, 15, 65]"
GBBG,3,217.314,8.766,13.0,0.0001,8.7651234,"[18, 50, 11, 51, 52, 53, 14, 12, 62, 63, 64, 15]"
GBBG,4,267.924,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65]"
GBGB,1,3.579,14.246,13.0,0.0001,14.2445754,"[18, 50, 11, 51, 62, 52, 7, 53, 63, 12, 64, 8]"
GBGB,2,85.664,10.314,13.0,0.0001,10.3129686,"[18, 50, 52, 7, 14, 53, 51, 62, 63, 15, 8, 65]"
GBGB,3,183.52,8.766,13.0,0.0001,8.7651234,"[18, 50, 11, 51, 52, 53, 14, 12, 62, 63, 64, 15]"
GBGB,4,386.891,8.484,13.0,0.0001,8.4831516,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65]"
