,Capacity,TimeToSolve,Objective,Iterations,Constraints,Variables,Movements,Gap,LowerBound,Sequence
GGGB,1,3252.594,14.518,151840629.0,6870.0,7296.0,15.0,1.6626e-05,14.517758621,"[18, 50, 11, 51, 7, 52, 14, 53, 62, 12, 63, 8, 65, 15, 64]"
GGGB,2,3600.187,11.2,171099989.0,6870.0,7296.0,15.0,0.139376949,9.638978176,"[18, 51, 50, 18, 11, 52, 53, 14, 12, 62, 19, 63, 64, 15, 65]"
GGGG,1,3609.063,17.952,109456374.0,7746.0,8208.0,17.0,0.867096181,2.385889366,"[18, 51, 18, 50, 11, 53, 14, 15, 65, 12, 62, 52, 7, 19, 63, 8, 64]"
GGGG,2,3610.64,14.252,91901777.0,7746.0,8208.0,17.0,0.682557276,4.524193702,"[18, 51, 50, 18, 11, 52, 7, 53, 12, 14, 64, 15, 8, 63, 19, 62, 65]"
