,Capacity,TimeToSolve,Objective,Iterations,Constraints,Variables,Movements,Gap,LowerBound,Sequence
BBGG,1,379.969,14.704,24373055.0,5994.0,6384.0,13.0,0.0,14.704,"[18, 50, 62, 52, 7, 53, 14, 51, 63, 15, 65, 8, 64]"
BBGG,2,636.141,10.614,37691665.0,5994.0,6384.0,13.0,4.7108e-05,10.6135,"[18, 52, 53, 7, 14, 51, 50, 62, 63, 8, 15, 65, 64]"
BBGG,3,132.344,9.366,8595278.0,5994.0,6384.0,13.0,0.0,9.366,"[18, 51, 52, 50, 11, 53, 14, 12, 62, 63, 64, 15, 65]"
BBGG,4,102.391,8.484,7634578.0,5994.0,6384.0,13.0,2.5778e-05,8.483781295,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65, 64]"
BGBG,1,871.75,14.546,51836891.0,5994.0,6384.0,13.0,7.1736e-05,14.544956522,"[18, 51, 11, 50, 63, 53, 14, 12, 62, 52, 64, 15, 65]"
BGBG,2,591.859,10.614,41286398.0,5994.0,6384.0,13.0,4.382101744e-06,10.613953488,"[18, 51, 53, 7, 14, 52, 50, 62, 63, 8, 15, 65, 64]"
BGBG,3,165.75,9.066,9777767.0,5994.0,6384.0,13.0,0.0,9.066,"[18, 50, 51, 11, 52, 53, 14, 12, 62, 63, 64, 15, 65]"
BGBG,4,138.532,8.484,8716089.0,5994.0,6384.0,13.0,2.178535988e-06,8.483981517,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65, 64]"
GGBB,1,347.0,14.246,18341492.0,5994.0,6384.0,13.0,8.5989e-05,14.244775,"[18, 50, 11, 51, 14, 53, 62, 52, 63, 12, 64, 15, 65]"
GGBB,2,533.937,10.014,28077458.0,5994.0,6384.0,13.0,2.8031e-05,10.013719298,"[18, 50, 51, 7, 14, 52, 53, 62, 63, 15, 8, 65, 64]"
GGBB,3,234.922,8.766,13770863.0,5994.0,6384.0,13.0,6.5421e-05,8.765426523,"[18, 50, 11, 51, 52, 53, 14, 12, 62, 63, 64, 15, 65]"
GGBB,4,139.14,8.484,7359377.0,5994.0,6384.0,13.0,3.241395569e-06,8.4839725,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65, 64]"
BGGB,1,387.516,14.546,26700501.0,5994.0,6384.0,13.0,0.0,14.546,"[18, 51, 11, 50, 63, 52, 14, 12, 62, 53, 64, 15, 65]"
BGGB,2,632.187,10.468,36278222.0,5994.0,6384.0,13.0,0.0,10.468,"[18, 52, 51, 11, 18, 50, 53, 62, 63, 12, 19, 64, 65]"
BGGB,3,398.531,9.066,21654643.0,5994.0,6384.0,13.0,0.0,9.066,"[18, 51, 50, 11, 52, 53, 14, 12, 62, 63, 64, 15, 65]"
BGGB,4,80.579,8.484,4524346.0,5994.0,6384.0,13.0,0.0,8.484,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65, 64]"
GBGB,1,733.172,14.246,35337584.0,5994.0,6384.0,13.0,0.0,14.246,"[18, 50, 11, 51, 63, 12, 62, 52, 14, 53, 64, 15, 65]"
GBGB,2,865.672,10.314,60605516.0,5994.0,6384.0,13.0,9.3085e-05,10.31303992,"[18, 50, 52, 14, 7, 53, 51, 62, 63, 8, 15, 65, 64]"
GBGB,3,193.937,8.766,11584686.0,5994.0,6384.0,13.0,9.845e-05,8.765136986,"[18, 50, 11, 51, 52, 53, 14, 12, 62, 63, 64, 15, 65]"
GBGB,4,202.047,8.484,12164936.0,5994.0,6384.0,13.0,9.8158e-05,8.483167232,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 15, 8, 65, 64]"
GBBG,1,633.562,14.246,32439226.0,5994.0,6384.0,13.0,0.0,14.246,"[18, 50, 11, 51, 63, 12, 62, 53, 14, 52, 64, 15, 65]"
GBBG,2,808.86,10.314,48757846.0,5994.0,6384.0,13.0,4.3989e-05,10.313546296,"[18, 50, 53, 14, 7, 52, 51, 62, 63, 15, 8, 65, 64]"
GBBG,3,146.515,8.766,8376766.0,5994.0,6384.0,13.0,3.3119e-05,8.765709677,"[18, 50, 11, 51, 52, 53, 14, 12, 62, 63, 64, 15, 65]"
GBBG,4,154.64,8.484,9493000.0,5994.0,6384.0,13.0,6.4938e-05,8.483449065,"[18, 50, 51, 52, 53, 7, 14, 62, 63, 8, 15, 65, 64]"
