,Capacity,TimeToSolve,Objective,Iterations,Constraints,Variables,Movements,Gap,LowerBound,Sequence
RRBB,1,1554.891,15.532,61457487.0,10194.0,8352.0,17.0,0.0,15.532,"[18, 50, 11, 51, 18, 52, 62, 19, 14, 12, 7, 53, 63, 8, 65, 15, 64]"
RRGB,1,6381.563,17.774,213236014.0,11342.0,9280.0,19.0,3.2414e-05,17.773423868,"[18, 50, 11, 51, 18, 52, 14, 12, 7, 53, 62, 15, 63, 19, 14, 8, 65, 15, 64]"
RRGG,1,18009.515,19.861,416386187.0,12490.0,10208.0,21.0,0.552979498,8.878274187,"[18, 51, 11, 50, 18, 53, 7, 52, 14, 8, 65, 15, 62, 19, 14, 12, 7, 8, 64, 15, 63]"
RRRB,1,18001.938,20.161,490562344.0,12490.0,10208.0,21.0,0.616624987,7.729223644,"[18, 51, 11, 50, 18, 52, 7, 19, 14, 53, 62, 15, 65, 8, 14, 12, 7, 8, 64, 15, 63]"
RRRG,1,[],,,,,,,,
RRRR,1,18010.781,25.894,301249664.0,14786.0,12064.0,25.0,0.836358085,4.237343749,"[18, 52, 11, 50, 18, 19, 7, 12, 14, 53, 18, 51, 11, 8, 62, 12, 7, 8, 63, 19, 7, 8, 65, 15, 64]"
