,Capacity,TimeToSolve,Objective,Movements,Gap,LowerBound,Sequence
BBBB,1,0.669,14.62,9.0,0.0001,14.618538,"[18, 50, 64, 53, 63, 52, 62, 51]"
BBBB,2,1.112,8.53,9.0,0.0001,8.529147,"[18, 50, 51, 63, 62, 53, 52, 64]"
BBBB,3,2.354,7.93,9.0,0.0001,7.929207,"[18, 50, 51, 52, 62, 53, 63, 64]"
BBBB,4,2.404,5.49,9.0,0.0001,5.489451,"[18, 50, 51, 52, 53, 62, 63, 64]"
